Feature,Gain,Cover,Frequency,Importance
Var192Var194,0.00234432115408702,0.00291069879882697,0.00306591722023505,0.00234432115408702
Var205Var208Var210,0.00231345167630222,0.0016291593953557,0.00357690342360756,0.00231345167630222
Var217Var229,0.00228645675917421,0.00333687860019432,0.00306591722023505,0.00228645675917421
Var197Var202,0.00228098752604333,0.00331094052404458,0.00306591722023505,0.00228098752604333
Var193Var207,0.00225673950980979,0.00238757314481868,0.00204394481349004,0.00225673950980979
Var53,0.00225408755220403,0.00361821960155435,0.00306591722023505,0.00225408755220403
Var193Var206,0.00223916042677185,0.00399722122882059,0.00306591722023505,0.00223916042677185
Var210Var212Var217,0.00223505662804299,0.00088368449565832,0.00153295861011753,0.00223505662804299
Var199Var208Var226,0.00220930326098197,0.00201554443883286,0.00306591722023505,0.00220930326098197
Var206Var210Var217,0.00218221735653562,0.00325426125068022,0.00357690342360756,0.00218221735653562
Var199Var224,0.00217870695336116,0.00174544880981244,0.00153295861011753,0.00217870695336116
Var204Var229,0.00216259386965605,0.000795887393915753,0.00408788962698007,0.00216259386965605
Var126_NAVar210Var216,0.00215269665643553,0.000845262830921419,0.00306591722023505,0.00215269665643553
Var199Var219,0.00214897471295115,0.00199091817067777,0.00306591722023505,0.00214897471295115
Var126_NAVar208Var218,0.00212196792791206,0.00292725747878792,0.00204394481349004,0.00212196792791206
Var216Var218Var226,0.00204531996109037,0.00184766460793418,0.00306591722023505,0.00204531996109037
Var193Var202,0.00203573610236437,0.00229372590944373,0.00255493101686254,0.00203573610236437
Var202Var212,0.0019653373194619,0.00203962793688017,0.00306591722023505,0.0019653373194619
Var192Var198,0.001957441202618,0.00307306044631456,0.00306591722023505,0.001957441202618
Var208Var226Var229,0.00194110096293048,0.00390835733582608,0.00306591722023505,0.00194110096293048
Var199Var210Var226,0.00192682199201089,0.00301637580430422,0.00255493101686254,0.00192682199201089
Var197Var212Var218,0.00191175911433258,0.00283294424494259,0.00357690342360756,0.00191175911433258
Var126_NAVar199Var205,0.0018840433777627,0.00102746426830173,0.00153295861011753,0.0018840433777627
Var199Var212Var226,0.00181550931436383,0.0026902119777229,0.00255493101686254,0.00181550931436383
Var192Var208Var229,0.00181408516503326,0.00282379875652907,0.00255493101686254,0.00181408516503326
Var192Var197Var205,0.00180888410505117,0.00132116554458066,0.00255493101686254,0.00180888410505117
Var126_NAVar206Var216,0.00180376570402877,0.00103711932381256,0.00306591722023505,0.00180376570402877
Var197Var204,0.00179535989163498,0.00150142910725142,0.00306591722023505,0.00179535989163498
Var205Var206Var216,0.00178258502228907,0.000695792500033938,0.00306591722023505,0.00178258502228907
Var199Var208Var210,0.00176347581155664,0.00213663850235372,0.00153295861011753,0.00176347581155664
Var216Var218Var229,0.00175593864697091,0.00226102466088196,0.00255493101686254,0.00175593864697091
Var199Var210Var218,0.00172520533785017,0.0020801463882474,0.00204394481349004,0.00172520533785017
Var194Var202,0.00172373913030839,0.00167728063406772,0.00255493101686254,0.00172373913030839
Var197Var205Var218,0.00172134535182104,0.00140810341518403,0.00306591722023505,0.00172134535182104
Var210Var226Var229,0.00167249203276751,0.000994326053255105,0.00255493101686254,0.00167249203276751
Var205Var206Var212,0.00166778505266282,0.00168647340786307,0.00204394481349004,0.00166778505266282
Var94,0.00166073134929721,0.000436117165061759,0.00357690342360756,0.00166073134929721
Var197Var208Var210,0.00163970203547612,0.00125578617393208,0.00306591722023505,0.00163970203547612
Var126_NAVar212Var217,0.00163633508827955,0.00168514859122626,0.00153295861011753,0.00163633508827955
Var134,0.0016305676999087,0.00184654512135716,0.00255493101686254,0.0016305676999087
Var192Var208Var218,0.00160300832827263,0.00126694936469103,0.00306591722023505,0.00160300832827263
Var192Var218Var229,0.00158706347741241,0.000543994737225709,0.00255493101686254,0.00158706347741241
Var212Var228,0.0015839288914224,0.00178714377929583,0.00153295861011753,0.0015839288914224
Var198Var217,0.00158074495990735,0.00192277890302675,0.00306591722023505,0.00158074495990735
Var57,0.00156339490673252,0.00186886473012169,0.00306591722023505,0.00156339490673252
Var192Var202,0.00155690753175566,0.00158827550438687,0.00255493101686254,0.00155690753175566
Var204Var223,0.00155452520476146,0.00221001017626101,0.00408788962698007,0.00155452520476146
Var199Var208Var218,0.00154707590435957,0.00150498013618377,0.00204394481349004,0.00154707590435957
Var133,0.00154633884461832,0.000873558981571226,0.00204394481349004,0.00154633884461832
Var208Var212Var217,0.00149909206594997,0.00152296844526981,0.00153295861011753,0.00149909206594997
Var217Var226Var229,0.00149529079484937,0.00132269453495352,0.00204394481349004,0.00149529079484937
Var208Var217,0.00147724469909968,0.00124531301936965,0.00153295861011753,0.00147724469909968
Var149,0.00146616694103935,0.000650096939463952,0.00357690342360756,0.00146616694103935
Var205Var210Var217,0.00146508945963794,0.000411992782710509,0.00153295861011753,0.00146508945963794
Var192Var211,0.0014369991551374,0.000411444313578541,0.00255493101686254,0.0014369991551374
Var210Var216Var218,0.00143611509986583,0.00204315550895935,0.00153295861011753,0.00143611509986583
Var219Var223,0.0014296939353403,0.00253407605988825,0.00204394481349004,0.0014296939353403
Var192Var210Var218,0.00141825493472317,0.000955281006126286,0.00153295861011753,0.00141825493472317
Var192Var212Var217,0.00139852505306174,0.00168654555420548,0.00255493101686254,0.00139852505306174
Var202Var211,0.00139088170190312,0.00172803292227886,0.00204394481349004,0.00139088170190312
Var202Var205,0.00138476035828929,0.000121382483701392,0.00204394481349004,0.00138476035828929
Var202Var219,0.00137694835786784,0.00228638944823644,0.00204394481349004,0.00137694835786784
Var206Var208Var226,0.00137299467780379,0.000469166425774352,0.00204394481349004,0.00137299467780379
Var205Var206Var226,0.00136903766639628,0.000926856833918682,0.00255493101686254,0.00136903766639628
Var206Var208Var217,0.00130629889136976,0.000882610766463895,0.00204394481349004,0.00130629889136976
Var210Var216Var229,0.00130131894931005,0.000881675341849166,0.00255493101686254,0.00130131894931005
Var206Var210Var216,0.00129958415220154,0.00110994153745324,0.00153295861011753,0.00129958415220154
Var126_NAVar208Var212,0.00129943632383535,0.00142321301500254,0.00153295861011753,0.00129943632383535
Var28,0.00126790078556686,0.00047516043640768,0.00255493101686254,0.00126790078556686
Var204Var205,0.00126676396461001,0.000158931495684163,0.00204394481349004,0.00126676396461001
Var202Var229,0.00126327250845149,0.000925575627206072,0.00153295861011753,0.00126327250845149
Var206Var212Var217,0.0012428409625731,0.000435199456978739,0.00204394481349004,0.0012428409625731
Var206Var211,0.00123193914108943,0.00213470991953142,0.00204394481349004,0.00123193914108943
Var197Var228,0.00123181213361989,0.00116648399293986,0.00153295861011753,0.00123181213361989
Var208Var212Var218,0.00121585249992306,0.00109223945979206,0.00204394481349004,0.00121585249992306
Var126_NAVar199Var226,0.00121244245347043,0.00123919276296142,0.00153295861011753,0.00121244245347043
Var206Var208Var218,0.00120205490813391,0.00177694789464922,0.00102197240674502,0.00120205490813391
Var206Var212Var218,0.00117597111344312,0.000532029553353073,0.00153295861011753,0.00117597111344312
